number_of_run,time_taken,best_price,best_price_possible,total_weight,max_weight_possible
1,0.095,322,344,198,200
2,0.059,331,344,191,200
3,0.058,332,344,188,200
4,0.065,344,344,194,200
5,0.061,331,344,191,200
6,0.059,320,344,176,200
7,0.062,331,344,191,200
8,0.100,317,344,197,200
9,0.060,330,344,198,200
10,0.063,344,344,194,200
11,0.061,324,344,196,200
12,0.058,331,344,191,200
13,0.058,331,344,191,200
14,0.060,331,344,191,200
15,0.067,335,344,189,200
16,0.061,331,344,191,200
17,0.060,344,344,194,200
18,0.058,321,344,190,200
19,0.060,300,344,198,200
20,0.060,331,344,191,200
21,0.056,331,344,191,200
22,0.062,344,344,194,200
23,0.059,324,344,196,200
24,0.061,344,344,194,200
25,0.059,337,344,195,200
26,0.060,330,344,198,200
27,0.063,317,344,195,200
28,0.060,332,344,188,200
29,0.058,332,344,188,200
30,0.097,325,344,198,200
